"","No","Karakter","Angka"
"12050",12050,"B",15
"12051",12051,"C",-4
"12052",12052,"D",19
"12053",12053,"A",4
"12054",12054,"B",18
"12055",12055,"C",16
"12056",12056,"D",4
"12057",12057,"A",18
"12058",12058,"B",6
"12059",12059,"C",1
"12060",12060,"D",-11
"12061",12061,"A",7
"12062",12062,"B",14
"12063",12063,"C",5
"12064",12064,"D",5
"12065",12065,"A",18
"12066",12066,"B",12
"12067",12067,"C",15
"12068",12068,"D",18
"12069",12069,"A",6
"12070",12070,"B",18
"12071",12071,"C",-3
"12072",12072,"D",11
"12073",12073,"A",-6
"12074",12074,"B",12
"12075",12075,"C",-12
"12076",12076,"D",-22
"12077",12077,"A",3
"12078",12078,"B",-10
"12079",12079,"C",6
"12080",12080,"D",10
"12081",12081,"A",7
"12082",12082,"B",19
"12083",12083,"C",14
"12084",12084,"D",4
"12085",12085,"A",13
"12086",12086,"B",24
"12087",12087,"C",20
"12088",12088,"D",12
"12089",12089,"A",27
"12090",12090,"B",7
"12091",12091,"C",21
"12092",12092,"D",0
"12093",12093,"A",21
"12094",12094,"B",19
"12095",12095,"C",5
"12096",12096,"D",20
"12097",12097,"A",8
"12098",12098,"B",18
"12099",12099,"C",12
"12100",12100,"D",7
"12101",12101,"A",10
"12102",12102,"B",6
"12103",12103,"C",1
"12104",12104,"D",34
"12105",12105,"A",-1
"12106",12106,"B",-21
"12107",12107,"C",1
"12108",12108,"D",-3
"12109",12109,"A",13
"12110",12110,"B",10
"12111",12111,"C",3
"12112",12112,"D",20
"12113",12113,"A",4
"12114",12114,"B",13
"12115",12115,"C",-6
"12116",12116,"D",19
"12117",12117,"A",2
"12118",12118,"B",16
"12119",12119,"C",-3
"12120",12120,"D",11
"12121",12121,"A",15
"12122",12122,"B",-8
"12123",12123,"C",-4
"12124",12124,"D",3
"12125",12125,"A",19
"12126",12126,"B",18
"12127",12127,"C",19
"12128",12128,"D",17
"12129",12129,"A",14
"12130",12130,"B",21
"12131",12131,"C",14
"12132",12132,"D",11
"12133",12133,"A",7
"12134",12134,"B",7
"12135",12135,"C",5
"12136",12136,"D",28
"12137",12137,"A",-8
"12138",12138,"B",14
"12139",12139,"C",10
"12140",12140,"D",11
"12141",12141,"A",22
"12142",12142,"B",8
"12143",12143,"C",11
"12144",12144,"D",20
"12145",12145,"A",5
"12146",12146,"B",5
"12147",12147,"C",-2
"12148",12148,"D",11
"12149",12149,"A",19
"12150",12150,"B",28
"12151",12151,"C",5
"12152",12152,"D",9
"12153",12153,"A",9
"12154",12154,"B",13
"12155",12155,"C",22
"12156",12156,"D",10
"12157",12157,"A",8
"12158",12158,"B",7
"12159",12159,"C",12
"12160",12160,"D",12
"12161",12161,"A",7
"12162",12162,"B",12
"12163",12163,"C",10
"12164",12164,"D",8
"12165",12165,"A",0
"12166",12166,"B",-8
"12167",12167,"C",-3
"12168",12168,"D",20
"12169",12169,"A",0
"12170",12170,"B",9
"12171",12171,"C",25
"12172",12172,"D",18
"12173",12173,"A",-9
"12174",12174,"B",-1
"12175",12175,"C",22
"12176",12176,"D",-1
"12177",12177,"A",-4
"12178",12178,"B",7
"12179",12179,"C",6
"12180",12180,"D",15
"12181",12181,"A",24
"12182",12182,"B",3
"12183",12183,"C",16
"12184",12184,"D",16
"12185",12185,"A",14
"12186",12186,"B",18
"12187",12187,"C",3
"12188",12188,"D",13
"12189",12189,"A",12
"12190",12190,"B",18
"12191",12191,"C",12
"12192",12192,"D",15
"12193",12193,"A",20
"12194",12194,"B",21
"12195",12195,"C",-3
"12196",12196,"D",14
"12197",12197,"A",27
"12198",12198,"B",8
"12199",12199,"C",15
"12200",12200,"D",15
"12201",12201,"A",2
"12202",12202,"B",0
"12203",12203,"C",16
"12204",12204,"D",16
"12205",12205,"A",9
"12206",12206,"B",7
"12207",12207,"C",15
"12208",12208,"D",2
"12209",12209,"A",0
"12210",12210,"B",18
"12211",12211,"C",7
"12212",12212,"D",11
"12213",12213,"A",13
"12214",12214,"B",2
"12215",12215,"C",-3
"12216",12216,"D",17
"12217",12217,"A",5
"12218",12218,"B",15
"12219",12219,"C",10
"12220",12220,"D",1
"12221",12221,"A",25
"12222",12222,"B",4
"12223",12223,"C",8
"12224",12224,"D",25
"12225",12225,"A",8
"12226",12226,"B",4
"12227",12227,"C",-1
"12228",12228,"D",8
"12229",12229,"A",14
"12230",12230,"B",7
"12231",12231,"C",13
"12232",12232,"D",14
"12233",12233,"A",23
"12234",12234,"B",8
"12235",12235,"C",16
"12236",12236,"D",7
"12237",12237,"A",14
"12238",12238,"B",9
"12239",12239,"C",2
"12240",12240,"D",14
"12241",12241,"A",2
"12242",12242,"B",9
"12243",12243,"C",1
"12244",12244,"D",7
"12245",12245,"A",1
"12246",12246,"B",10
"12247",12247,"C",17
"12248",12248,"D",5
"12249",12249,"A",5
"12250",12250,"B",3
"12251",12251,"C",3
"12252",12252,"D",-1
"12253",12253,"A",0
"12254",12254,"B",6
"12255",12255,"C",-3
"12256",12256,"D",3
"12257",12257,"A",-4
"12258",12258,"B",7
"12259",12259,"C",21
"12260",12260,"D",-10
"12261",12261,"A",5
"12262",12262,"B",-3
"12263",12263,"C",7
"12264",12264,"D",23
"12265",12265,"A",9
"12266",12266,"B",6
"12267",12267,"C",19
"12268",12268,"D",10
"12269",12269,"A",-7
"12270",12270,"B",13
"12271",12271,"C",35
"12272",12272,"D",6
"12273",12273,"A",6
"12274",12274,"B",5
"12275",12275,"C",-13
"12276",12276,"D",9
"12277",12277,"A",18
"12278",12278,"B",9
"12279",12279,"C",16
"12280",12280,"D",4
"12281",12281,"A",3
"12282",12282,"B",44
"12283",12283,"C",2
"12284",12284,"D",15
"12285",12285,"A",14
"12286",12286,"B",6
"12287",12287,"C",-13
"12288",12288,"D",10
"12289",12289,"A",25
"12290",12290,"B",28
"12291",12291,"C",4
"12292",12292,"D",2
"12293",12293,"A",7
"12294",12294,"B",8
"12295",12295,"C",27
"12296",12296,"D",14
"12297",12297,"A",-1
"12298",12298,"B",11
"12299",12299,"C",24
"12300",12300,"D",11
"12301",12301,"A",1
"12302",12302,"B",0
"12303",12303,"C",-2
"12304",12304,"D",18
"12305",12305,"A",22
"12306",12306,"B",11
"12307",12307,"C",13
"12308",12308,"D",9
"12309",12309,"A",18
"12310",12310,"B",18
"12311",12311,"C",6
"12312",12312,"D",-2
"12313",12313,"A",23
"12314",12314,"B",24
"12315",12315,"C",11
"12316",12316,"D",7
"12317",12317,"A",3
"12318",12318,"B",-4
"12319",12319,"C",13
"12320",12320,"D",9
"12321",12321,"A",4
"12322",12322,"B",29
"12323",12323,"C",7
"12324",12324,"D",10
"12325",12325,"A",21
"12326",12326,"B",3
"12327",12327,"C",10
"12328",12328,"D",20
"12329",12329,"A",23
"12330",12330,"B",-7
"12331",12331,"C",17
"12332",12332,"D",10
"12333",12333,"A",14
"12334",12334,"B",8
"12335",12335,"C",9
"12336",12336,"D",6
"12337",12337,"A",16
"12338",12338,"B",23
"12339",12339,"C",2
"12340",12340,"D",-4
"12341",12341,"A",14
"12342",12342,"B",14
"12343",12343,"C",30
"12344",12344,"D",19
"12345",12345,"A",12
"12346",12346,"B",-7
"12347",12347,"C",18
"12348",12348,"D",-10
"12349",12349,"A",20
"12350",12350,"B",22
"12351",12351,"C",-12
"12352",12352,"D",0
"12353",12353,"A",17
"12354",12354,"B",-3
"12355",12355,"C",12
"12356",12356,"D",14
"12357",12357,"A",30
"12358",12358,"B",17
"12359",12359,"C",0
"12360",12360,"D",21
"12361",12361,"A",11
"12362",12362,"B",7
"12363",12363,"C",-2
"12364",12364,"D",8
"12365",12365,"A",13
"12366",12366,"B",25
"12367",12367,"C",10
"12368",12368,"D",3
"12369",12369,"A",11
"12370",12370,"B",-3
"12371",12371,"C",7
"12372",12372,"D",-3
"12373",12373,"A",9
"12374",12374,"B",-6
"12375",12375,"C",-10
"12376",12376,"D",3
"12377",12377,"A",17
"12378",12378,"B",5
"12379",12379,"C",2
"12380",12380,"D",16
"12381",12381,"A",11
"12382",12382,"B",12
"12383",12383,"C",7
"12384",12384,"D",4
"12385",12385,"A",11
"12386",12386,"B",13
"12387",12387,"C",19
"12388",12388,"D",1
"12389",12389,"A",20
"12390",12390,"B",9
"12391",12391,"C",11
"12392",12392,"D",11
"12393",12393,"A",7
"12394",12394,"B",-5
"12395",12395,"C",21
"12396",12396,"D",15
"12397",12397,"A",-4
"12398",12398,"B",18
"12399",12399,"C",5
"12400",12400,"D",14
"12401",12401,"A",11
"12402",12402,"B",12
"12403",12403,"C",6
"12404",12404,"D",11
"12405",12405,"A",15
"12406",12406,"B",19
"12407",12407,"C",-5
"12408",12408,"D",8
"12409",12409,"A",12
"12410",12410,"B",19
"12411",12411,"C",9
"12412",12412,"D",16
"12413",12413,"A",2
"12414",12414,"B",13
"12415",12415,"C",-4
"12416",12416,"D",11
"12417",12417,"A",21
"12418",12418,"B",4
"12419",12419,"C",8
"12420",12420,"D",8
"12421",12421,"A",3
"12422",12422,"B",19
"12423",12423,"C",-16
"12424",12424,"D",6
"12425",12425,"A",0
"12426",12426,"B",18
"12427",12427,"C",-2
"12428",12428,"D",21
"12429",12429,"A",17
"12430",12430,"B",0
"12431",12431,"C",-9
"12432",12432,"D",17
"12433",12433,"A",13
"12434",12434,"B",18
"12435",12435,"C",15
"12436",12436,"D",17
"12437",12437,"A",4
"12438",12438,"B",-5
"12439",12439,"C",20
"12440",12440,"D",4
"12441",12441,"A",13
"12442",12442,"B",16
"12443",12443,"C",11
"12444",12444,"D",13
"12445",12445,"A",-7
"12446",12446,"B",17
"12447",12447,"C",0
"12448",12448,"D",13
"12449",12449,"A",30
"12450",12450,"B",15
"12451",12451,"C",5
"12452",12452,"D",3
"12453",12453,"A",10
"12454",12454,"B",17
"12455",12455,"C",1
"12456",12456,"D",-2
"12457",12457,"A",8
"12458",12458,"B",6
"12459",12459,"C",12
"12460",12460,"D",32
"12461",12461,"A",8
"12462",12462,"B",18
"12463",12463,"C",16
"12464",12464,"D",5
"12465",12465,"A",1
"12466",12466,"B",9
"12467",12467,"C",7
"12468",12468,"D",0
"12469",12469,"A",21
"12470",12470,"B",-5
"12471",12471,"C",21
"12472",12472,"D",-11
"12473",12473,"A",8
"12474",12474,"B",6
"12475",12475,"C",14
"12476",12476,"D",17
"12477",12477,"A",12
"12478",12478,"B",12
"12479",12479,"C",26
"12480",12480,"D",8
"12481",12481,"A",24
"12482",12482,"B",28
"12483",12483,"C",23
"12484",12484,"D",12
"12485",12485,"A",13
"12486",12486,"B",11
"12487",12487,"C",19
"12488",12488,"D",16
"12489",12489,"A",5
"12490",12490,"B",9
"12491",12491,"C",-1
"12492",12492,"D",3
"12493",12493,"A",28
"12494",12494,"B",1
"12495",12495,"C",-13
"12496",12496,"D",14
"12497",12497,"A",-1
"12498",12498,"B",11
"12499",12499,"C",-10
"12500",12500,"D",2
"12501",12501,"A",-4
"12502",12502,"B",18
"12503",12503,"C",28
"12504",12504,"D",39
"12505",12505,"A",17
"12506",12506,"B",20
"12507",12507,"C",15
"12508",12508,"D",35
"12509",12509,"A",19
"12510",12510,"B",24
"12511",12511,"C",11
"12512",12512,"D",-11
"12513",12513,"A",18
"12514",12514,"B",18
"12515",12515,"C",19
"12516",12516,"D",22
"12517",12517,"A",1
"12518",12518,"B",19
"12519",12519,"C",19
"12520",12520,"D",6
"12521",12521,"A",23
"12522",12522,"B",0
"12523",12523,"C",18
"12524",12524,"D",-6
"12525",12525,"A",13
"12526",12526,"B",7
"12527",12527,"C",26
"12528",12528,"D",-4
"12529",12529,"A",12
"12530",12530,"B",10
"12531",12531,"C",10
"12532",12532,"D",7
"12533",12533,"A",10
"12534",12534,"B",1
"12535",12535,"C",6
"12536",12536,"D",11
"12537",12537,"A",14
"12538",12538,"B",-2
"12539",12539,"C",0
"12540",12540,"D",6
"12541",12541,"A",18
"12542",12542,"B",17
"12543",12543,"C",27
"12544",12544,"D",23
"12545",12545,"A",8
"12546",12546,"B",-12
"12547",12547,"C",0
"12548",12548,"D",6
"12549",12549,"A",30
"12550",12550,"B",17
"12551",12551,"C",13
"12552",12552,"D",30
"12553",12553,"A",1
"12554",12554,"B",-22
"12555",12555,"C",-9
"12556",12556,"D",4
"12557",12557,"A",8
"12558",12558,"B",11
"12559",12559,"C",13
"12560",12560,"D",-2
"12561",12561,"A",8
"12562",12562,"B",-21
"12563",12563,"C",10
"12564",12564,"D",15
"12565",12565,"A",12
"12566",12566,"B",5
"12567",12567,"C",7
"12568",12568,"D",25
"12569",12569,"A",10
"12570",12570,"B",8
"12571",12571,"C",-13
"12572",12572,"D",9
"12573",12573,"A",18
"12574",12574,"B",30
"12575",12575,"C",20
"12576",12576,"D",17
"12577",12577,"A",7
"12578",12578,"B",11
"12579",12579,"C",6
"12580",12580,"D",11
"12581",12581,"A",5
"12582",12582,"B",9
"12583",12583,"C",9
"12584",12584,"D",3
"12585",12585,"A",10
"12586",12586,"B",12
"12587",12587,"C",13
"12588",12588,"D",12
"12589",12589,"A",9
"12590",12590,"B",-3
"12591",12591,"C",8
"12592",12592,"D",31
"12593",12593,"A",15
"12594",12594,"B",0
"12595",12595,"C",12
"12596",12596,"D",5
"12597",12597,"A",19
"12598",12598,"B",5
"12599",12599,"C",7
"12600",12600,"D",21
"12601",12601,"A",5
"12602",12602,"B",9
"12603",12603,"C",29
"12604",12604,"D",17
"12605",12605,"A",4
"12606",12606,"B",17
"12607",12607,"C",8
"12608",12608,"D",20
"12609",12609,"A",0
"12610",12610,"B",6
"12611",12611,"C",7
"12612",12612,"D",3
"12613",12613,"A",16
"12614",12614,"B",-5
"12615",12615,"C",1
"12616",12616,"D",18
"12617",12617,"A",6
"12618",12618,"B",2
"12619",12619,"C",2
"12620",12620,"D",6
"12621",12621,"A",16
"12622",12622,"B",5
"12623",12623,"C",16
"12624",12624,"D",4
"12625",12625,"A",21
"12626",12626,"B",10
"12627",12627,"C",2
"12628",12628,"D",0
"12629",12629,"A",18
"12630",12630,"B",11
"12631",12631,"C",25
"12632",12632,"D",20
"12633",12633,"A",4
"12634",12634,"B",-9
"12635",12635,"C",11
"12636",12636,"D",12
"12637",12637,"A",22
"12638",12638,"B",18
"12639",12639,"C",12
"12640",12640,"D",20
"12641",12641,"A",16
"12642",12642,"B",-1
"12643",12643,"C",1
"12644",12644,"D",-16
"12645",12645,"A",-10
"12646",12646,"B",0
"12647",12647,"C",3
"12648",12648,"D",-11
"12649",12649,"A",-8
"12650",12650,"B",3
"12651",12651,"C",32
"12652",12652,"D",13
"12653",12653,"A",7
"12654",12654,"B",17
"12655",12655,"C",-4
"12656",12656,"D",10
"12657",12657,"A",9
"12658",12658,"B",17
"12659",12659,"C",-1
"12660",12660,"D",5
"12661",12661,"A",28
"12662",12662,"B",19
"12663",12663,"C",-1
"12664",12664,"D",17
"12665",12665,"A",0
"12666",12666,"B",2
"12667",12667,"C",18
"12668",12668,"D",20
"12669",12669,"A",-3
"12670",12670,"B",13
"12671",12671,"C",14
"12672",12672,"D",14
"12673",12673,"A",22
"12674",12674,"B",7
"12675",12675,"C",22
"12676",12676,"D",22
"12677",12677,"A",-1
"12678",12678,"B",10
"12679",12679,"C",10
"12680",12680,"D",6
"12681",12681,"A",15
"12682",12682,"B",27
"12683",12683,"C",-2
"12684",12684,"D",1
"12685",12685,"A",5
"12686",12686,"B",16
"12687",12687,"C",10
"12688",12688,"D",-12
"12689",12689,"A",15
"12690",12690,"B",4
"12691",12691,"C",12
"12692",12692,"D",10
"12693",12693,"A",5
"12694",12694,"B",9
"12695",12695,"C",12
"12696",12696,"D",16
"12697",12697,"A",21
"12698",12698,"B",8
"12699",12699,"C",30
"12700",12700,"D",-12
"12701",12701,"A",18
"12702",12702,"B",18
"12703",12703,"C",23
"12704",12704,"D",8
"12705",12705,"A",2
"12706",12706,"B",-14
"12707",12707,"C",14
"12708",12708,"D",0
"12709",12709,"A",-9
"12710",12710,"B",12
"12711",12711,"C",11
"12712",12712,"D",9
"12713",12713,"A",5
"12714",12714,"B",10
"12715",12715,"C",20
"12716",12716,"D",9
"12717",12717,"A",29
"12718",12718,"B",2
"12719",12719,"C",32
"12720",12720,"D",13
"12721",12721,"A",18
"12722",12722,"B",16
"12723",12723,"C",14
"12724",12724,"D",13
"12725",12725,"A",12
"12726",12726,"B",19
"12727",12727,"C",12
"12728",12728,"D",9
"12729",12729,"A",10
"12730",12730,"B",-2
"12731",12731,"C",6
"12732",12732,"D",1
"12733",12733,"A",7
"12734",12734,"B",-6
"12735",12735,"C",10
"12736",12736,"D",23
"12737",12737,"A",11
"12738",12738,"B",2
"12739",12739,"C",17
"12740",12740,"D",3
"12741",12741,"A",12
"12742",12742,"B",1
"12743",12743,"C",9
"12744",12744,"D",-2
"12745",12745,"A",18
"12746",12746,"B",14
"12747",12747,"C",4
"12748",12748,"D",21
"12749",12749,"A",8
"12750",12750,"B",31
"12751",12751,"C",7
"12752",12752,"D",7
"12753",12753,"A",10
"12754",12754,"B",24
"12755",12755,"C",8
"12756",12756,"D",4
"12757",12757,"A",6
"12758",12758,"B",17
"12759",12759,"C",-5
"12760",12760,"D",2
"12761",12761,"A",16
"12762",12762,"B",-1
"12763",12763,"C",-7
"12764",12764,"D",26
"12765",12765,"A",3
"12766",12766,"B",23
"12767",12767,"C",14
"12768",12768,"D",7
"12769",12769,"A",28
"12770",12770,"B",15
"12771",12771,"C",-9
"12772",12772,"D",-8
"12773",12773,"A",12
"12774",12774,"B",5
"12775",12775,"C",17
"12776",12776,"D",11
"12777",12777,"A",4
"12778",12778,"B",12
"12779",12779,"C",-10
"12780",12780,"D",6
"12781",12781,"A",12
"12782",12782,"B",6
"12783",12783,"C",7
"12784",12784,"D",10
"12785",12785,"A",7
"12786",12786,"B",3
"12787",12787,"C",25
"12788",12788,"D",9
"12789",12789,"A",-19
"12790",12790,"B",11
"12791",12791,"C",-11
"12792",12792,"D",10
"12793",12793,"A",28
"12794",12794,"B",21
"12795",12795,"C",11
"12796",12796,"D",-4
"12797",12797,"A",3
"12798",12798,"B",7
"12799",12799,"C",24
"12800",12800,"D",-3
"12801",12801,"A",26
"12802",12802,"B",6
"12803",12803,"C",14
"12804",12804,"D",7
"12805",12805,"A",33
"12806",12806,"B",34
"12807",12807,"C",6
"12808",12808,"D",10
"12809",12809,"A",20
"12810",12810,"B",16
"12811",12811,"C",14
"12812",12812,"D",-4
"12813",12813,"A",1
"12814",12814,"B",-3
"12815",12815,"C",13
"12816",12816,"D",-8
"12817",12817,"A",24
"12818",12818,"B",-10
"12819",12819,"C",6
"12820",12820,"D",14
"12821",12821,"A",11
"12822",12822,"B",28
"12823",12823,"C",10
"12824",12824,"D",13
"12825",12825,"A",14
"12826",12826,"B",19
"12827",12827,"C",4
"12828",12828,"D",18
"12829",12829,"A",7
"12830",12830,"B",7
"12831",12831,"C",9
"12832",12832,"D",2
"12833",12833,"A",-10
"12834",12834,"B",11
"12835",12835,"C",-7
"12836",12836,"D",4
"12837",12837,"A",16
"12838",12838,"B",13
"12839",12839,"C",11
"12840",12840,"D",3
"12841",12841,"A",13
"12842",12842,"B",18
"12843",12843,"C",5
"12844",12844,"D",-5
"12845",12845,"A",0
"12846",12846,"B",-4
"12847",12847,"C",13
"12848",12848,"D",10
"12849",12849,"A",-5
"12850",12850,"B",19
"12851",12851,"C",-5
"12852",12852,"D",8
"12853",12853,"A",24
"12854",12854,"B",-19
"12855",12855,"C",20
"12856",12856,"D",25
"12857",12857,"A",8
"12858",12858,"B",-3
"12859",12859,"C",0
"12860",12860,"D",8
"12861",12861,"A",18
"12862",12862,"B",15
"12863",12863,"C",0
"12864",12864,"D",13
"12865",12865,"A",7
"12866",12866,"B",-1
"12867",12867,"C",-5
"12868",12868,"D",-3
"12869",12869,"A",-1
"12870",12870,"B",-5
"12871",12871,"C",-5
"12872",12872,"D",17
"12873",12873,"A",21
"12874",12874,"B",-5
"12875",12875,"C",6
"12876",12876,"D",10
"12877",12877,"A",4
"12878",12878,"B",30
"12879",12879,"C",34
"12880",12880,"D",10
"12881",12881,"A",9
"12882",12882,"B",17
"12883",12883,"C",31
"12884",12884,"D",-2
"12885",12885,"A",10
"12886",12886,"B",15
"12887",12887,"C",4
"12888",12888,"D",-9
"12889",12889,"A",12
"12890",12890,"B",23
"12891",12891,"C",14
"12892",12892,"D",5
"12893",12893,"A",19
"12894",12894,"B",-4
"12895",12895,"C",19
"12896",12896,"D",22
"12897",12897,"A",12
"12898",12898,"B",17
"12899",12899,"C",21
"12900",12900,"D",14
"12901",12901,"A",8
"12902",12902,"B",12
"12903",12903,"C",-1
"12904",12904,"D",18
"12905",12905,"A",15
"12906",12906,"B",7
"12907",12907,"C",5
"12908",12908,"D",-5
"12909",12909,"A",19
"12910",12910,"B",7
"12911",12911,"C",25
"12912",12912,"D",14
"12913",12913,"A",12
"12914",12914,"B",-1
"12915",12915,"C",11
"12916",12916,"D",17
"12917",12917,"A",-4
"12918",12918,"B",3
"12919",12919,"C",22
"12920",12920,"D",13
"12921",12921,"A",6
"12922",12922,"B",-3
"12923",12923,"C",1
"12924",12924,"D",19
"12925",12925,"A",21
"12926",12926,"B",5
"12927",12927,"C",6
"12928",12928,"D",16
"12929",12929,"A",7
"12930",12930,"B",-2
"12931",12931,"C",-6
"12932",12932,"D",3
"12933",12933,"A",8
"12934",12934,"B",25
"12935",12935,"C",9
"12936",12936,"D",3
"12937",12937,"A",-2
"12938",12938,"B",2
"12939",12939,"C",-1
"12940",12940,"D",19
"12941",12941,"A",-1
"12942",12942,"B",11
"12943",12943,"C",-3
"12944",12944,"D",16
"12945",12945,"A",8
"12946",12946,"B",17
"12947",12947,"C",12
"12948",12948,"D",20
"12949",12949,"A",14
"12950",12950,"B",-1
"12951",12951,"C",-3
"12952",12952,"D",7
"12953",12953,"A",20
"12954",12954,"B",-7
"12955",12955,"C",-3
"12956",12956,"D",-4
"12957",12957,"A",7
"12958",12958,"B",11
"12959",12959,"C",22
"12960",12960,"D",33
"12961",12961,"A",5
"12962",12962,"B",14
"12963",12963,"C",8
"12964",12964,"D",10
"12965",12965,"A",35
"12966",12966,"B",41
"12967",12967,"C",-5
"12968",12968,"D",27
"12969",12969,"A",37
"12970",12970,"B",9
"12971",12971,"C",5
"12972",12972,"D",14
"12973",12973,"A",32
"12974",12974,"B",7
"12975",12975,"C",5
"12976",12976,"D",22
"12977",12977,"A",13
"12978",12978,"B",8
"12979",12979,"C",5
"12980",12980,"D",5
"12981",12981,"A",6
"12982",12982,"B",2
"12983",12983,"C",21
"12984",12984,"D",4
"12985",12985,"A",3
"12986",12986,"B",23
"12987",12987,"C",10
"12988",12988,"D",5
"12989",12989,"A",18
"12990",12990,"B",5
"12991",12991,"C",4
"12992",12992,"D",-5
"12993",12993,"A",9
"12994",12994,"B",16
"12995",12995,"C",18
"12996",12996,"D",4
"12997",12997,"A",5
"12998",12998,"B",19
"12999",12999,"C",6
"13000",13000,"D",-6
"13001",13001,"A",15
"13002",13002,"B",28
"13003",13003,"C",13
"13004",13004,"D",19
"13005",13005,"A",26
"13006",13006,"B",17
"13007",13007,"C",19
"13008",13008,"D",-1
"13009",13009,"A",18
"13010",13010,"B",6
"13011",13011,"C",15
"13012",13012,"D",11
"13013",13013,"A",9
"13014",13014,"B",17
"13015",13015,"C",-6
"13016",13016,"D",5
"13017",13017,"A",6
"13018",13018,"B",4
"13019",13019,"C",16
"13020",13020,"D",-1
"13021",13021,"A",4
"13022",13022,"B",17
"13023",13023,"C",12
"13024",13024,"D",1
"13025",13025,"A",8
"13026",13026,"B",3
"13027",13027,"C",1
"13028",13028,"D",14
"13029",13029,"A",15
"13030",13030,"B",16
"13031",13031,"C",8
"13032",13032,"D",16
"13033",13033,"A",19
"13034",13034,"B",8
"13035",13035,"C",17
"13036",13036,"D",-7
"13037",13037,"A",20
"13038",13038,"B",29
"13039",13039,"C",10
"13040",13040,"D",15
"13041",13041,"A",9
"13042",13042,"B",3
"13043",13043,"C",26
"13044",13044,"D",14
"13045",13045,"A",12
"13046",13046,"B",5
"13047",13047,"C",27
"13048",13048,"D",6
"13049",13049,"A",13
"13050",13050,"B",-21
"13051",13051,"C",10
"13052",13052,"D",6
"13053",13053,"A",24
"13054",13054,"B",9
"13055",13055,"C",4
"13056",13056,"D",11
"13057",13057,"A",4
"13058",13058,"B",-2
"13059",13059,"C",11
"13060",13060,"D",10
"13061",13061,"A",5
"13062",13062,"B",-1
"13063",13063,"C",15
"13064",13064,"D",8
"13065",13065,"A",17
"13066",13066,"B",20
"13067",13067,"C",11
"13068",13068,"D",22
"13069",13069,"A",13
"13070",13070,"B",10
"13071",13071,"C",22
"13072",13072,"D",15
"13073",13073,"A",10
"13074",13074,"B",-9
"13075",13075,"C",9
"13076",13076,"D",17
"13077",13077,"A",9
"13078",13078,"B",17
"13079",13079,"C",-4
"13080",13080,"D",21
"13081",13081,"A",9
"13082",13082,"B",13
"13083",13083,"C",19
"13084",13084,"D",17
"13085",13085,"A",-2
"13086",13086,"B",-1
"13087",13087,"C",10
"13088",13088,"D",4
"13089",13089,"A",24
"13090",13090,"B",11
"13091",13091,"C",0
"13092",13092,"D",2
"13093",13093,"A",11
"13094",13094,"B",3
"13095",13095,"C",14
"13096",13096,"D",16
"13097",13097,"A",-5
"13098",13098,"B",10
"13099",13099,"C",22
"13100",13100,"D",14
"13101",13101,"A",14
"13102",13102,"B",11
"13103",13103,"C",6
"13104",13104,"D",-4
"13105",13105,"A",21
"13106",13106,"B",5
"13107",13107,"C",-2
"13108",13108,"D",19
"13109",13109,"A",-2
"13110",13110,"B",-1
"13111",13111,"C",24
"13112",13112,"D",13
"13113",13113,"A",-2
"13114",13114,"B",17
"13115",13115,"C",8
"13116",13116,"D",7
"13117",13117,"A",23
"13118",13118,"B",4
"13119",13119,"C",-1
"13120",13120,"D",15
"13121",13121,"A",24
"13122",13122,"B",19
"13123",13123,"C",3
"13124",13124,"D",20
"13125",13125,"A",3
"13126",13126,"B",6
"13127",13127,"C",17
"13128",13128,"D",1
"13129",13129,"A",20
"13130",13130,"B",-1
"13131",13131,"C",13
"13132",13132,"D",-8
"13133",13133,"A",12
"13134",13134,"B",20
"13135",13135,"C",1
"13136",13136,"D",14
"13137",13137,"A",-7
"13138",13138,"B",19
"13139",13139,"C",11
"13140",13140,"D",7
"13141",13141,"A",21
"13142",13142,"B",8
"13143",13143,"C",15
"13144",13144,"D",0
"13145",13145,"A",17
"13146",13146,"B",29
"13147",13147,"C",11
"13148",13148,"D",29
"13149",13149,"A",5
"13150",13150,"B",16
"13151",13151,"C",19
"13152",13152,"D",-2
"13153",13153,"A",22
"13154",13154,"B",9
"13155",13155,"C",19
"13156",13156,"D",-16
"13157",13157,"A",8
"13158",13158,"B",2
"13159",13159,"C",7
"13160",13160,"D",19
"13161",13161,"A",3
"13162",13162,"B",20
"13163",13163,"C",5
"13164",13164,"D",6
"13165",13165,"A",-5
"13166",13166,"B",14
"13167",13167,"C",26
"13168",13168,"D",23
"13169",13169,"A",21
"13170",13170,"B",2
"13171",13171,"C",6
"13172",13172,"D",12
"13173",13173,"A",2
"13174",13174,"B",11
"13175",13175,"C",11
"13176",13176,"D",9
"13177",13177,"A",12
"13178",13178,"B",22
"13179",13179,"C",3
"13180",13180,"D",35
"13181",13181,"A",-4
"13182",13182,"B",22
"13183",13183,"C",6
"13184",13184,"D",5
"13185",13185,"A",-1
"13186",13186,"B",-3
"13187",13187,"C",9
"13188",13188,"D",14
"13189",13189,"A",6
"13190",13190,"B",-8
"13191",13191,"C",50
"13192",13192,"D",10
"13193",13193,"A",23
"13194",13194,"B",19
"13195",13195,"C",4
"13196",13196,"D",23
"13197",13197,"A",13
"13198",13198,"B",-1
"13199",13199,"C",6
